word;score;index_c_a
 детородный ;0,3333;-0,098712293668443
 ограниченные ;0,3333;-0,098712293668443
 пастбищное ;0,3333;-0,098712293668443
 планового ;0,3333;-0,098712293668443
 отважное ;0,3333;-0,098712293668443
 королевскую ;0,3333;-0,098712293668443
 примитивные ;0,3333;-0,098712293668443
 воспитанное ;0,3333;-0,098712293668443
 внеэкономическая ;0,3333;-0,098712293668443
 чудесных ;0,3333;-0,098712293668443
 половых ;0,3333;-0,098712293668443
 импозантный ;0,3333;-0,098712293668443
 независимые ;0,3333;-0,098712293668443
 решающих ;0,3333;-0,098712293668443
 тарифная ;0,3333;-0,098712293668443
 несвоевременный ;0,3333;-0,098712293668443
 интерактивная ;0,3333;-0,098712293668443
 матернее ;0,3333;-0,098712293668443
 фантастического ;0,3333;-0,098712293668443
 рудные ;0,3333;-0,098712293668443
 атмосферная ;0,3333;-0,098712293668443
 следственная ;0,3333;-0,098712293668443
 итерационная ;0,3333;-0,098712293668443
 позднего ;0,3333;-0,098712293668443
 нестандартная ;0,3333;-0,098712293668443
 сумасшедших ;0,3333;-0,098712293668443
 испанского ;0,3333;-0,098712293668443
 периферический ;0,3333;-0,098712293668443
 жильный ;0,3333;-0,098712293668443
 кровавых ;0,3333;-0,098712293668443
 словесные ;0,3333;-0,098712293668443
 дисконтированный ;0,3333;-0,098712293668443
 невиданные ;0,3333;-0,098712293668443
 двоичная ;0,3333;-0,098712293668443
 бескрайний ;0,3333;-0,098712293668443
 буроватый ;0,3333;-0,098712293668443
 среднесуточную ;0,3333;-0,098712293668443
 невыгодная ;0,3333;-0,098712293668443
 боснийский ;0,3333;-0,098712293668443
 владельческая ;0,3333;-0,098712293668443
 гигиенический ;0,3333;-0,098712293668443
 деревенских ;0,3333;-0,098712293668443
 пропащая ;0,3333;-0,098712293668443
 строгим ;0,3333;-0,098712293668443
 униполярная ;0,3333;-0,098712293668443
 норвежского ;0,3333;-0,098712293668443
 умственные ;0,3333;-0,098712293668443
 жидовская ;0,3333;-0,098712293668443
 преданный ;0,3333;-0,098712293668443
 ароматная ;0,3333;-0,098712293668443
 черносотенный ;0,3333;-0,098712293668443
 ястребиный ;0,3333;-0,098712293668443
 текущего ;0,3333;-0,098712293668443
 импульсную ;0,3333;-0,098712293668443
 малоисследованный ;0,3333;-0,098712293668443
 белградская ;0,3333;-0,098712293668443
 диагностическое ;0,3333;-0,098712293668443
 этнологическая ;0,3333;-0,098712293668443
 пожарную ;0,3333;-0,098712293668443
 предпосевное ;0,3333;-0,098712293668443
 связных ;0,3333;-0,098712293668443
 внутримолекулярный ;0,3333;-0,098712293668443
 инквизиторский ;0,3333;-0,098712293668443
 дрянное ;0,3333;-0,098712293668443
 непрерывной ;0,3333;-0,098712293668443
 бесовская ;0,3333;-0,098712293668443
 атлетический ;0,3333;-0,098712293668443
 секундный ;0,3333;-0,098712293668443
 крещенская ;0,3333;-0,098712293668443
 геологической ;0,3333;-0,098712293668443
 вегетативную ;0,3333;-0,098712293668443
 капиллярный ;0,3333;-0,098712293668443
 данным ;0,3333;-0,098712293668443
 морозное ;0,3333;-0,098712293668443
 массовых ;0,3333;-0,098712293668443
 гнойное ;0,3333;-0,098712293668443
 четвертную ;0,3333;-0,098712293668443
 плотностной ;0,3333;-0,098712293668443
 приграничное ;0,3333;-0,098712293668443
 недовольных ;0,3333;-0,098712293668443
 антифеодальный ;0,3333;-0,098712293668443
 полуторное ;0,3333;-0,098712293668443
 квартирную ;0,3333;-0,098712293668443
 геральдическое ;0,3333;-0,098712293668443
 виднейший ;0,3333;-0,098712293668443
 думские ;0,3333;-0,098712293668443
 английским ;0,3333;-0,098712293668443
 клеточную ;0,3333;-0,098712293668443
 политическому ;0,3333;-0,098712293668443
 образованных ;0,3333;-0,098712293668443
 тщедушное ;0,3333;-0,098712293668443
 устарелое ;0,3333;-0,098712293668443
 незамерзающий ;0,3333;-0,098712293668443
 винтовочная ;0,3333;-0,098712293668443
 приезжих ;0,3333;-0,098712293668443
 быстрых ;0,3333;-0,098712293668443
 коронарная ;0,3333;-0,098712293668443
 говорящего ;0,3333;-0,098712293668443
 радиоэлектронная ;0,3333;-0,098712293668443
 святыми ;0,3333;-0,098712293668443
 ромбический ;0,3333;-0,098712293668443
 зародышевое ;0,3333;-0,098712293668443
 непроглядный ;0,3333;-0,098712293668443
 перспективной ;0,3333;-0,098712293668443
 сборной ;0,3333;-0,098712293668443
 спиралевидный ;0,3333;-0,098712293668443
 отгонное ;0,3333;-0,098712293668443
 резервуарный ;0,3333;-0,098712293668443
 струнная ;0,3333;-0,098712293668443
 церковной ;0,3333;-0,098712293668443
 апертурный ;0,3333;-0,098712293668443
 лакейское ;0,3333;-0,098712293668443
 рассеянную ;0,3333;-0,098712293668443
 продолжительной ;0,3333;-0,098712293668443
 рекрутская ;0,3333;-0,098712293668443
